idProduct,print_id,idMetacard,card_name,collector_number,canonical_variant,canonical_rarity,product_image_sha256,canonical_image_sha256,minimum_relative_assignment_gap
724109,693300,422355,Arias the Labrynth Butler,AGOV-JP017,rarity-super,super,f88616c6b282edee0a958e9e95c55610ac980c24019cf69af621171038f25716,2bc4fed84034f230c6c027205c2c68d61ba6258a13643b85e67b211c36838b17,0.150026
724110,667589,422355,Arias the Labrynth Butler,AGOV-JP017,rarity-secret,secret,f17b724feb2498d301cdd71b9f52e86778a4bb54cd773b65b1da556523605f0e,2d750da11745208eae54c3d7aada2f2354991058c4a820b404efb4acef761bb8,0.150026
724111,699690,422355,Arias the Labrynth Butler,AGOV-JP017,rarity-25thsecret,25thsecret,04389837803fd96c655a41bd70e93aaed265029b067f655f767bfa140050cde3,b38d54a2adf41672a85c71fa55d7eff5cb2946c126931b00a4ec9062f1276bca,0.150026
724116,667760,422358,Dark Hole Dragon,AGOV-JP020,rarity-ultra,ultra,1f730697e83a74b0f86e4615d5ed4c14a6a55e1e6ef476503d65cf87c696f95c,ec25395313c8a17cd8fcdbe84c089db1c3a0e1cd3db020dde34e3521881c3c8c,0.05042
724117,689140,422358,Dark Hole Dragon,AGOV-JP020,rarity-secret,secret,9e10cec604c4231529361214a17acd1cacd63647a54b3e2cfae6d8f9dd20b5de,85438c71f88b28510f8c39c7bba4ddc2fa2e8c6c16c252ec75d2af85ea2de69e,0.05042
724118,702209,422358,Dark Hole Dragon,AGOV-JP020,rarity-ultimate,ultimate,3b2f46134bd88c2c08ab68f4d55e5353b94a184b3aaaeaea7274c422a4a0a870,02a3db31340a3da2395aa44138f05136877939791ddd6472223b7e36224f693d,0.05042
724119,668918,422358,Dark Hole Dragon,AGOV-JP020,rarity-25thsecret,25thsecret,152854fdfcb2d33278190b0168f59728dd05a911a987426ab8032c9db3c7325b,d6bba742218b6ba8fdb4a88669d3cfa1abd30ae7ba04d5e8ab9a34c35bba9b33,0.05042
724171,668297,422383,Exceed the Pendulum,AGOV-JP045,rarity-super,super,b814c70576d3f4797ad679f9d77e8779b0b114c36570f4be3374b86fa7f86db8,8d4b9582055375837067b58918c21aac5b30bb016adb82ca6423f26478addc91,0.034659
724172,692860,422383,Exceed the Pendulum,AGOV-JP045,rarity-secret,secret,a3a3d83ab6951f3e01690125e503444e2ccf2b837d38d5ba0848687a97055f55,e949eb64a2b592f8c0e33dc0b34f542515878ffa247f0f5f6aa38a196caa2266,0.034659
724173,698878,422383,Exceed the Pendulum,AGOV-JP045,rarity-25thsecret,25thsecret,cb95b2cb6f702031ef61260c15456224a58d700897f54359f3bbdddec6dbfa7e,e7d2ad313aedafcbe12c640d26e9b973747765cfe55674c0e3ca0c364ab45ba8,0.034659
724098,693653,422349,"Imsety, Glory of Horus",AGOV-JP011,rarity-ultra,ultra,8f0eb2a6f79f999c4035be5176ba657a4160e68706b5c02d1bb776d306106bc4,081170cf04cb5347834f06041f92bccf27ce5c98a7a6310e370619979f1c04a0,0.046512
724099,669603,422349,"Imsety, Glory of Horus",AGOV-JP011,rarity-secret,secret,423bb6ac1844df85bb7587f8a2825a6ac299f2bd0df4f95e1e90b420287d9a87,f3359b485c41b412c8af8d7db0dcb88c1352dcb5bb073333b2b1f6c4bc66fecc,0.046512
724100,674495,422349,"Imsety, Glory of Horus",AGOV-JP011,rarity-ultimate,ultimate,a961b0d211c5b680c2a43cec5f63fc31f9c868ae2bbb4bace789fcb3b5853386,729588c31680023e573e6637b8755128cfe1271b3cbe8f22eea5b97238ed68e9,0.046512
724101,681312,422349,"Imsety, Glory of Horus",AGOV-JP011,rarity-25thsecret,25thsecret,5dd68e2ddde0a73c247b732cf184cc0a321ebd2d8fabe591aabb807eed7e847b,779622ba6e8e5793765fb92934a2faed9d2d90329fcc054a1edb163b557a7332,0.046512
724174,671536,422384,S:P Little Knight,AGOV-JP046,rarity-super,super,68ffee138b1ee18ba4e85cac60c5613fe1976d477372b9c5bf3f623876fcd937,81b427f8a2c8290cdf8c225a1644ce14cb932a58db2c8c791975d6c6d7e3b056,0.046512
724175,673552,422384,S:P Little Knight,AGOV-JP046,rarity-secret,secret,3e5fe3eae9757f3782d3726e80ae260e831cd7d0360e791cb1db2b99e2477bce,419db2c473247551c7c6fe034380ea8e44292c29decdac484d53e13ae1e5f6f8,0.046512
724176,696354,422384,S:P Little Knight,AGOV-JP046,rarity-25thsecret,25thsecret,0ac3d271d03f24072c4468c7446518aaa8e875104001fe685c02fcad4b615386,b220be2fd51c8f656520d4ef4a8f186c74f4393c13cfb45158690bcb64212789,0.046512
724088,677912,422345,Snake-Eye Ash,AGOV-JP007,rarity-super,super,44b5e8b60eca9e4d4c1b7a8e5e5e3cf9fbc81cd7fe06629dda891d290f204862,0aad65981db5a3f9e1495ede7fe1b8a73fef61657e9586b17c96067577a9f07f,0.088595
724089,683141,422345,Snake-Eye Ash,AGOV-JP007,rarity-secret,secret,1108f305d51ca025033e9976bd56a5785d1285643721f78c0c47a9c46a564e91,975933c878a63c400b98de5e63d383278740767f18cf1acd8629f7be7636cf9c,0.088595
724090,701886,422345,Snake-Eye Ash,AGOV-JP007,rarity-25thsecret,25thsecret,8523beede6bbf7aae3a41ef625f4a8cc4c1d653c16b63f3e3d26b283a0223957,0f14cb0ae63c126edc37beec5094fe90b5791b4de46697d6ed66bc7d5823c046,0.088595
724093,683290,422348,Snake-Eyes Flamberge Dragon,AGOV-JP010,rarity-ultra,ultra,1f6fb3ffedf67d2bbbb8feb9b2f263699951ebff9d9583744abd688afe39340c,95073bbc1587f2ac56ef6bd871cf95cff784346575edf13bea4e950e699bca9e,0.039012
724095,673988,422348,Snake-Eyes Flamberge Dragon,AGOV-JP010,rarity-secret,secret,3b0c7fdf51f8d7dbd2c11043cf0c07304f9d0fbc433193cac39ecc9d70492f4f,db95ea709af251dd3b9f97fea40362840cbeeaf81163aa226e81e5f3699bb333,0.039012
724096,688751,422348,Snake-Eyes Flamberge Dragon,AGOV-JP010,rarity-ultimate,ultimate,b024e3cb3425181210e8cd4c0220b3295d05c42fff065161e76d39fcf13ed817,73d9d348ee829d51db78d1b1e0824a7f9f7882ce224253e1e80e30b5f63d60e2,0.039012
724097,701499,422348,Snake-Eyes Flamberge Dragon,AGOV-JP010,rarity-25thsecret,25thsecret,312574cbc3920b58b969630185baea178643f0234e60e679d84ea37cf5f406cd,70c0558098f3f320bcba504c100433d314d5a2e31e25c12763ac5a036006a8c7,0.039012
724071,686454,422339,Supreme King Gate Magician,AGOV-JP001,rarity-super,super,e3c88939751be4f238fd9fe0c5562563604d87440361c078dacf071aff039f0f,5375729938dc7e1b83c5ef8ff5e24bf501bb8087e6cf10ac4684cba9311a8180,0.110155
724072,671780,422339,Supreme King Gate Magician,AGOV-JP001,rarity-secret,secret,d90e89edab1a5ee952ce4f6e05b614b844964435687e8526d8d047ab5e7896af,467eef5b52624e726b2cf08559583c09bc4d5b173821a0fc8b9a8f13a75eae90,0.110155
724073,669088,422339,Supreme King Gate Magician,AGOV-JP001,rarity-25thsecret,25thsecret,e09e51c2dd286db218eaa933e8985fd2566b40ccba42fed0fc15c3145379575e,09202bae110c5588c5f951e7966cb913f4bd15fe8682bc3a5e093b149b5ad833,0.110155
