idMetacard,collector_number,group_size,ordinal,idProduct,print_id,canonical_rarity
445562,ALIN-JP002,3,1,809714,681990,super
445562,ALIN-JP002,3,2,809715,669224,secret
445562,ALIN-JP002,3,3,809716,681638,25thsecret
445564,ALIN-JP004,4,1,809718,681770,ultra
445564,ALIN-JP004,4,2,809719,677035,secret
445564,ALIN-JP004,4,3,809720,674670,25thsecret
445564,ALIN-JP004,4,4,809721,689629,ultimate
445571,ALIN-JP011,4,1,809728,670310,ultra
445571,ALIN-JP011,4,2,809729,680193,secret
445571,ALIN-JP011,4,3,809730,680832,25thsecret
445571,ALIN-JP011,4,4,809731,667740,ultimate
445572,ALIN-JP012,4,1,809732,683977,ultra
445572,ALIN-JP012,4,2,809733,696039,secret
445572,ALIN-JP012,4,3,809734,687288,25thsecret
445572,ALIN-JP012,4,4,809735,694503,ultimate
445574,ALIN-JP014,3,1,809737,696637,super
445574,ALIN-JP014,3,2,809738,677321,secret
445574,ALIN-JP014,3,3,809739,676568,25thsecret
445576,ALIN-JP016,3,1,809741,676699,super
445576,ALIN-JP016,3,2,809742,677175,secret
445576,ALIN-JP016,3,3,809743,674301,25thsecret
445577,ALIN-JP017,4,1,809744,690039,ultra
445577,ALIN-JP017,4,2,809745,690161,secret
445577,ALIN-JP017,4,3,809746,674605,25thsecret
445577,ALIN-JP017,4,4,809747,696406,ultimate
445578,ALIN-JP018,1,1,809748,679204,common
445579,ALIN-JP019,1,1,809749,687741,common
445582,ALIN-JP022,3,1,809752,674661,super
445582,ALIN-JP022,3,2,809753,695585,secret
445582,ALIN-JP022,3,3,809754,679813,25thsecret
445583,ALIN-JP023,3,1,809755,697862,super
445583,ALIN-JP023,3,2,809756,695532,secret
445583,ALIN-JP023,3,3,809757,697966,25thsecret
445587,ALIN-JP027,3,1,809761,690137,super
445587,ALIN-JP027,3,2,809762,688060,secret
445587,ALIN-JP027,3,3,809763,689539,25thsecret
445588,ALIN-JP028,3,1,809764,694849,super
445588,ALIN-JP028,3,2,809765,681943,secret
445588,ALIN-JP028,3,3,809766,692160,25thsecret
445596,ALIN-JP036,3,1,809774,674865,super
445596,ALIN-JP036,3,2,809775,682327,secret
445596,ALIN-JP036,3,3,809776,686007,25thsecret
445599,ALIN-JP039,4,1,809779,692846,ultra
445599,ALIN-JP039,4,2,809780,675152,secret
445599,ALIN-JP039,4,3,809781,667566,25thsecret
445599,ALIN-JP039,4,4,809782,678838,ultimate
445600,ALIN-JP040,3,1,809783,684267,super
445600,ALIN-JP040,3,2,809784,690226,secret
445600,ALIN-JP040,3,3,809785,690550,25thsecret
445603,ALIN-JP043,1,1,809788,677371,rare
445606,ALIN-JP046,4,1,809791,691456,ultra
445606,ALIN-JP046,4,2,809792,698091,secret
445606,ALIN-JP046,4,3,809793,675108,25thsecret
445606,ALIN-JP046,4,4,809794,691251,ultimate
445607,ALIN-JP047,3,1,809795,671332,super
445607,ALIN-JP047,3,2,809796,698625,secret
445607,ALIN-JP047,3,3,809797,676806,25thsecret
445608,ALIN-JP048,3,1,809798,681583,super
445608,ALIN-JP048,3,2,809799,669223,secret
445608,ALIN-JP048,3,3,809800,667695,25thsecret
445609,ALIN-JP049,4,1,809801,681307,ultra
445609,ALIN-JP049,4,2,809802,691741,secret
445609,ALIN-JP049,4,3,809803,688323,25thsecret
445609,ALIN-JP049,4,4,809804,676784,ultimate
445611,ALIN-JP051,5,1,809806,699405,ultra
445611,ALIN-JP051,5,2,809807,670206,secret
445611,ALIN-JP051,5,3,809808,681776,25thsecret
445611,ALIN-JP051,5,4,809809,693578,ultimate
445611,ALIN-JP051,5,5,809810,673437,ghost
445612,ALIN-JP052,1,1,809811,674263,rare
445618,ALIN-JP058,1,1,809817,695688,rare
445619,ALIN-JP059,1,1,809818,698558,common
445626,ALIN-JP066,4,1,809825,685558,ultra
445626,ALIN-JP066,4,2,809826,684415,secret
445626,ALIN-JP066,4,3,809827,670195,25thsecret
445626,ALIN-JP066,4,4,809828,699007,ultimate
445638,ALIN-JP078,1,1,809840,697024,rare
