idProduct,idMetacard,print_id,card_id,card_name,collector_number,canonical_variant,canonical_rarity,product_image_sha256,canonical_image_sha256,minimum_relative_assignment_gap
823673,448548,667517,68564,Dodododo Warrior,DUAD-JP004,rarity-super,super,12e4e9ec3b38d8837171aca839e74d796f9c5423dd2d2e37f6b9434842001c49,09672b9b527e7aa71362baea1b123e1128f5389d6cf4f4e4d8475859051b60ff,0.481934
823674,448548,695586,68564,Dodododo Warrior,DUAD-JP004,rarity-secret,secret,a7dfc7759cf24530a595057e21a0c622314e302b4ab059061052c68c5d5e9570,18bcae042a54c5fe4e7ae27cee4db541a5ff0d626445483faac9c570af582d19,0.481934
823675,448549,687619,60651,Lunalight Gold Leo,DUAD-JP005,rarity-common,common,2b96a7a463ac99ef2bfec4c5c2e0e3373df0752203fbe035750575801788b8f1,4cd0edc65728d8c5331db24e8da2db8fc79170eb4672cf21e47be6b218dd37c3,0.631432
823676,448549,696199,60651,Lunalight Gold Leo,DUAD-JP005,rarity-secret,secret,8cd60d95c3c125a8cec54b6a9b4dd52401976a5c561bc4e20ae982a7e98a0748,43d66e762f12a82c5b70aaf7d8f4d87e0021ae2ace45926ca3ce72b963b43c3f,0.631432
823678,448551,675121,68337,Linkslayer @Ignister,DUAD-JP007,rarity-common,common,6b6e03454a8500a332efa2266bd67f99bb53c019e5afdee4492e4f8c02a4f0b4,f7e8841de9249f415b7e5ebfe6f182bd0d99536948dc7972d43a33fb56f9be50,0.531306
823679,448551,677503,68337,Linkslayer @Ignister,DUAD-JP007,rarity-secret,secret,e2606f590ac5be9443a0b3be69aa3f4bb03e69869ddf68684dc30c2b61f170dd,3209c2726589b2712ddd6879102fed7ee92614b61c8686b04111d76f01bcf874,0.531306
823680,448552,685182,73399,Medius the Pure,DUAD-JP008,rarity-super,super,8803bfe30a72fa3f8b0c3e4d16bb4d2bcbf1d216df9f1fa97ca31e7594655639,47684fc61cbdb2a7a35b770c477dc125255fab32eae300f1f43a10fa2e29e78b,1.125858
823681,448552,698362,73399,Medius the Pure,DUAD-JP008,rarity-prismaticsecret,prismaticsecret,10049ec6253d9a802c0740062a2fbd862674db48a67c4c2dcdd4a6ec288adf19,c66ea8172b6caec9374cb2bb150ac9ee1f60c7a3de69c71dab2fc0f1b8547eb2,1.125858
823682,448553,669605,64482,Artmage Finmel,DUAD-JP009,rarity-super,super,99f1495cf787d85432964b7675833ad0070689d934a4981af28d0b8ee7efc6a9,4825e61ddf444b8b187a7af8d13eba64e4a3a248ad7ec54f75da1f454247d0f9,1.363981
823683,448553,684817,64482,Artmage Finmel,DUAD-JP009,rarity-prismaticsecret,prismaticsecret,e96df360b5e11bdf765058fd792b586712b71c0ebb52bcfa71b75ca99e5eff6d,bdd4d5bde3d2e1e414f8e8ea07bbe3bb7fe4b41508cee9c25104d8d3484cbe01,1.363981
823684,448554,667588,68304,Artmage Graflare,DUAD-JP010,rarity-common,common,7f88d285482e44912511316b2e07aeaa4566544d5519cda037c356c5e106e801,10305d6cf3f9f30afd197d327bcc13b861bae4412f4204a2a1edc6d7aad8c65f,0.545485
823685,448554,702195,68304,Artmage Graflare,DUAD-JP010,rarity-secret,secret,958ece2a029e420ddc186ff193b4e6cc85539c92925003423c4c0b187e0b9998,dd1ea346c5926af5ef7c05e412f5b9982e2c2898486abf3d3a45812b9e4dae0d,0.545485
823686,448555,672924,73381,Artmage Litera,DUAD-JP011,rarity-common,common,c6598bd5463d7eac0b8ab2de5fa5c207795638f26d9322a57c77e15f365a9e10,53d6267c019f737ffcd09cabdf1cf09dd33f7e6dd43a4492ab58d7880496a881,1.223082
