idProduct,print_id,idMetacard,card_name,collector_number,canonical_variant,canonical_rarity,product_image_sha256,canonical_image_sha256,minimum_relative_assignment_gap
657501,676898,408101,Vendread Scavenger,POTE-JP040,rarity-super,super,4577e927643122c3eb91b6657b4babb5756898e2515e290a4ecd7eaa123ee76f,5876b1e53cb042075e8bb951fb517ced66ac74abb626e9914659c2c30b9debf4,0.079435
657502,677242,408101,Vendread Scavenger,POTE-JP040,rarity-secret,secret,1bbd4f62d3442bc704ceada43410ebc5893e4ca680a278a3b6cf374f1b1aacbc,564ed287ef4210ec1bb32201e3479e28fc72a73260d923dac0fb1db15dc3be84,0.079435
657503,666643,408101,Vendread Scavenger,POTE-JP040,rarity-prismaticsecret,prismaticsecret,8eb56484d1eb5bae3e4e90e0065e6e0795a361ae4f0444faf13e2a5b28d5b507,eb2ce42b6bfc0ac5a01bfed358ba4406a7f5d7c5fa34341376c5dce55ef3a2d6,0.079435
657504,684138,408102,Elemental HERO Shining Neos Wingman,POTE-JP041,rarity-ultra,ultra,dda3a43d1b1a188c9a26abfea0e4deeebac30584fb22056e7c6b58939ba823fc,3e4fcafcd86d1c1eda57714d5be7b9efeec171a3a782e5aae610f445ed8c93a0,0.050633
657505,674485,408102,Elemental HERO Shining Neos Wingman,POTE-JP041,rarity-secret,secret,d27d7e1d961b64ee61e83d28bfadcb5d6ffa266f9634680bbed14e7cd2a36a2a,fa82b881bd765cb14272418f576a9c17bd5221b77ac5279d1873d25e239db86d,0.050633
657506,699332,408102,Elemental HERO Shining Neos Wingman,POTE-JP041,rarity-ultimate,ultimate,cdb09e1134fca6679a3f2c74260b91d0e2e76d36fdfe01468de9971e3d4702da,02455d42abc344f2b6dd6279915b2d4f0930187431cade6a3caa02cc6f727241,0.050633
657507,678904,408102,Elemental HERO Shining Neos Wingman,POTE-JP041,rarity-prismaticsecret,prismaticsecret,d871874e56f2138703724b12300241e8c42865c92c7388cfd1c7ca56f022a8a7,20ae9aa66f09f3e49c1a86ce22cede6899f2669ce8e3dcee98af2d67c6e11cc7,0.050633
657508,674761,408103,Tearlaments Kitkallos,POTE-JP042,rarity-super,super,22cfee856b7f505d5d56e18865b5ce6fa9666c33423c8d25ab9d4c9c78f71d47,a79780e43832446aef720feb3910a4df315d28c908e71aa8174ae559d82760ee,0.094946
657509,687053,408103,Tearlaments Kitkallos,POTE-JP042,rarity-secret,secret,ddad18adde93d1e3403f1607c8a965619742683d21b7fc2e2b9829e1947af84b,fd519f053fad572338120e72c8e2c484f00ed4e5dc4be701bf63e409f32ecf78,0.094946
657510,669989,408103,Tearlaments Kitkallos,POTE-JP042,rarity-prismaticsecret,prismaticsecret,40b052f44e1db7655d70800b57da17102bf0a68e14fc7aee62217b1d32a496b3,ad39883445c74fd02797202904d2c8b3a4474d7c4af2a0ff7bd83d4e50013fc7,0.094946
