idMetacard,collector_number,group_size,ordinal,idProduct,print_id,canonical_rarity
408062,POTE-JP001,3,1,657441,686618,super
408062,POTE-JP001,3,2,657442,688159,secret
408062,POTE-JP001,3,3,657443,702210,prismaticsecret
408064,POTE-JP003,3,1,657445,676840,super
408064,POTE-JP003,3,2,657446,698599,secret
408064,POTE-JP003,3,3,657447,690845,prismaticsecret
408070,POTE-JP009,4,1,657453,693389,ultra
408070,POTE-JP009,4,2,657454,689190,secret
408070,POTE-JP009,4,3,657455,670236,ultimate
408070,POTE-JP009,4,4,657456,691508,prismaticsecret
408072,POTE-JP011,3,1,657458,698692,super
408072,POTE-JP011,3,2,657459,688438,secret
408072,POTE-JP011,3,3,657460,668108,prismaticsecret
408075,POTE-JP014,3,1,657463,690821,super
408075,POTE-JP014,3,2,657464,686316,secret
408075,POTE-JP014,3,3,657465,692185,prismaticsecret
408077,POTE-JP016,3,1,657467,691418,super
408077,POTE-JP016,3,2,657468,688565,secret
408077,POTE-JP016,3,3,657469,670288,prismaticsecret
408092,POTE-JP031,5,1,657484,686769,ultra
408092,POTE-JP031,5,2,657485,676849,secret
408092,POTE-JP031,5,3,657486,685842,ultimate
408092,POTE-JP031,5,4,657487,684574,prismaticsecret
408092,POTE-JP031,5,5,657489,669720,ghost
408093,POTE-JP032,4,1,657490,680029,ultra
408093,POTE-JP032,4,2,657491,690965,secret
408093,POTE-JP032,4,3,657492,701495,ultimate
408093,POTE-JP032,4,4,657493,699141,prismaticsecret
408104,POTE-JP043,4,1,657511,689545,ultra
408104,POTE-JP043,4,2,657512,676556,secret
408104,POTE-JP043,4,3,657513,695856,ultimate
408104,POTE-JP043,4,4,657514,692232,prismaticsecret
408105,POTE-JP044,3,1,657515,679939,super
408105,POTE-JP044,3,2,657516,702543,secret
408105,POTE-JP044,3,3,657517,691534,prismaticsecret
408140,POTE-JP079,4,1,657562,668426,ultra
408140,POTE-JP079,4,2,657563,678301,secret
408140,POTE-JP079,4,3,657564,688903,ultimate
408140,POTE-JP079,4,4,657565,695595,prismaticsecret
